"","pattern","replacement"
"1"," a.d "," anno domini "
"2"," a.m "," ante meridian "
"3"," c. "," circa "
"4"," ca. "," circa "
"5"," c.v "," curriculum vitae "
"6"," e.g. "," exempli gratia "
"7"," et al. "," et alii "
"8"," etc. "," et cetera "
"9"," i.e. "," id est "
"10"," p.a "," per annum "
"11"," p.m "," post meridian "
"12"," p.s "," post scriptum "
"13"," r.i.p "," requiescat in pace "
"14"," stat "," statim "
"15"," dr. "," doctor "
"16"," gen. "," general (army) "
"17"," hon. "," honorable "
"18"," mr. "," mister "
"19"," mrs. "," mistress "
"20"," ms. "," miss "
"21"," prof. "," professor "
"22"," rev. "," reverend (clergyman) "
"23"," sr. "," senior / junior "
"24"," st. "," saint "
"25"," jr. "," junior "
"26"," assn. "," association "
"27"," ave. "," avenue "
"28"," dept. "," department "
"29"," est. "," established "
"30"," fig. "," figure "
"31"," hrs. "," hours "
"32"," inc. "," incorporated "
"33"," mt. "," mount "
"34"," no. "," number "
"35"," oz. "," ounces "
"36"," sq. "," square "
"37"," st. "," street "
"38"," vs "," versus "
